date,open,high,low,close,volume,turnover,code,name
12/9/2024,5144.99,5163.86,5135.84,5144.91,6444296,110923002.7,TENI,الطاقة
11/9/2024,5155.81,5164.58,5116.3,5116.38,19356924,534191263.2,TENI,الطاقة
10/9/2024,5173.14,5183.47,5154.12,5155.81,14135928,427197000.7,TENI,الطاقة
9/9/2024,5183.47,5193.14,5162.85,5163.67,13974356,420697770.9,TENI,الطاقة
8/9/2024,5210.68,5219.82,5173.89,5174.03,16197179,465327157.7,TENI,الطاقة
5/9/2024,5251.4,5260.78,5221.6,5221.74,16437059,492140220.3,TENI,الطاقة
4/9/2024,5268.42,5268.5,5239.23,5242.25,19923409,712785536.8,TENI,الطاقة
3/9/2024,5297.65,5306.77,5270.54,5289.19,16336667,521065100.9,TENI,الطاقة
2/9/2024,5287.4,5316.49,5259.9,5288.48,34927325,995442183.7,TENI,الطاقة
1/9/2024,5305.7,5305.7,5267.95,5278.19,15126518,388264190.6,TENI,الطاقة
29/08/2024,5260.08,5296.56,5249.44,5296.56,92931980,2425190274,TENI,الطاقة
28/08/2024,5269.79,5279.37,5241.46,5260.46,19326440,544201800.8,TENI,الطاقة
27/08/2024,5297.03,5317.25,5278.58,5278.91,22524022,691596282.3,TENI,الطاقة
26/08/2024,5281.46,5306.07,5269.08,5297.01,20401733,651951544.5,TENI,الطاقة
25/08/2024,5262.61,5281.13,5252.97,5281.11,15769744,528432286.1,TENI,الطاقة
22/08/2024,5261.73,5271.09,5233.87,5243.72,19403600,657006958.8,TENI,الطاقة
21/08/2024,5299.19,5299.19,5252.5,5261.94,25905710,771598444,TENI,الطاقة
20/08/2024,5371.36,5371.82,5325.69,5344.07,22292214,735584495.7,TENI,الطاقة
19/08/2024,5361.96,5370.78,5342.48,5370.78,22251117,622889416.9,TENI,الطاقة
18/08/2024,5341.73,5370.92,5341.73,5361.64,19039390,547777173.4,TENI,الطاقة
15/08/2024,5339.68,5352.25,5331.48,5341.42,27938913,869581111.8,TENI,الطاقة
14/08/2024,5338.26,5365.77,5328.39,5329.07,27469144,741942707.5,TENI,الطاقة
13/08/2024,5299.54,5338.7,5290.19,5337.63,23531412,616884098.8,TENI,الطاقة
12/8/2024,5299.79,5309.39,5270.97,5290.6,30510544,786903915.5,TENI,الطاقة
11/8/2024,5296.73,5299.29,5269.87,5289.58,24043042,564598080.1,TENI,الطاقة
8/8/2024,5269.51,5296.95,5240.33,5250.34,47041501,847726673,TENI,الطاقة
7/8/2024,5195.45,5251.99,5177.13,5250.48,37680616,793499086.4,TENI,الطاقة
6/8/2024,5127.65,5204.14,5118.37,5148.49,36441683,941033844.9,TENI,الطاقة
5/8/2024,5135.76,5136.6,5068.09,5072.62,47513900,1301358375,TENI,الطاقة
4/8/2024,5166.21,5177.14,5091.68,5138.53,26049761,672410882.9,TENI,الطاقة
1/8/2024,5238.01,5256.25,5198.79,5207.78,24948728,645656866.4,TENI,الطاقة
